2026-08-04 18:51:04,152 | INFO     | [main.py:53] | [main] | 🚀 [AymnGuard Core v5.0] إدراج نواة الأمان والتشغيل المؤسسي قيد البدء...
2026-08-04 18:51:04,159 | INFO     | [database.py:50] | [database] | ⚙️ بدء عملية المزامنة وهندسة الجداول داخل قاعدة البيانات...
2026-08-04 18:51:04,160 | INFO     | [database.py:52] | [database] | ✅ تمت تهيئة كافة الجداول والهياكل بنجاح مؤسسي.
2026-08-04 18:51:04,160 | INFO     | [main.py:59] | [main] | ✅ تم إنجاز تهيئة قواعد البيانات ومواعيد الاتصال بنجاح.
2026-08-04 18:51:04,182 | ERROR    | [scheduler.py:29] | [scheduler] | ❌ خطأ أثناء إعداد الجدول الزمني: 'No time zone found with key Asia/Aden'
2026-08-04 18:51:04,182 | ERROR    | [main.py:70] | [main] | ⚠️ تحذير في إقلاع الجدول الزمني: 'No time zone found with key Asia/Aden'
2026-08-04 18:51:04,182 | WARNING  | [main.py:82] | [main] | ℹ️ لم يتم إدخال بيانات الويب هوك الخاصة بتليجرام.
2026-08-04 18:52:42,960 | WARNING  | [main.py:87] | [main] | 🛑 [AymnGuard Core] إيقاف تشغيل النظام وأمان الأرجوحة اللوجستية قيد التنفيذ...
2026-08-04 18:52:42,964 | INFO     | [scheduler.py:51] | [scheduler] | ℹ️ محرك الجدولة لم يكن قيد التشغيل.
2026-08-04 18:52:42,964 | INFO     | [main.py:90] | [main] | ✅ تم إيقاف المداولات واللوجستيات الخلفية بأمان ت تام.
2026-08-04 18:53:33,213 | INFO     | [main.py:216] | [main] | 🌐 دفق إدخال الـ (port)...
2026-08-04 18:53:33,232 | INFO     | [main.py:53] | [main] | 🚀 [AymnGuard Core v5.0] إدراج نواة الأمان والتشغيل المؤسسي قيد البدء...
2026-08-04 18:53:33,237 | INFO     | [database.py:50] | [database] | ⚙️ بدء عملية المزامنة وهندسة الجداول داخل قاعدة البيانات...
2026-08-04 18:53:33,237 | INFO     | [database.py:52] | [database] | ✅ تمت تهيئة كافة الجداول والهياكل بنجاح مؤسسي.
